Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
38 -0.01553728 0.9966801 -8.603761 0.1270958 0.5136608 -8.615763 0.127095818519592 0.513660788536072 -8.61576271057129 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -4.795242 24.0964 198.2788 1.948852 -3.565735 -2.433807 1.385374 5.586337 1.65507 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.006202627 -0.6747991 0.03584507 -0.7371048 -0.008436499 -0.6977398 0.009027231 -0.7162452 -0.4600345 0.495217 0.4869558 0.5531758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1151 0.04367904 0.9973301 -8.564269 0.2114487 0.5223067 -8.562844 0.211448684334755 0.522306680679321 -8.56284427642822 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 3.237347 20.86083 -158.101 -2.922394 -0.8796997 0.9956273 -3.843577 8.603839 1.523291 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.01224308 -0.6925813 -0.04380235 -0.719905 -0.01032334 -0.6831329 0.02876328 -0.7296548 -0.4534823 0.4969299 0.4538918 0.5842924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1205 0.09102248 1.006542 -8.531035 0.2443886 0.5267384 -8.523063 0.244388595223427 0.526738405227661 -8.52306270599365 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 9.676769 20.20171 -154.0598 -11.4736 2.527189 5.022329 -16.76603 13.58278 2.258958 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.02506864 -0.6890624 -0.1095653 -0.7159336 -0.02220096 -0.6724998 0.05968861 -0.7373528 -0.4304627 0.5223016 0.3749991 0.6334663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1235 0.09447173 1.0144015 -8.496904 0.2230957 0.52946065 -8.4663285 0.223095715045929 0.529460668563843 -8.46632814407349 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 11.0746045 22.238455 -149.25375 -15.365525 0.96981705 6.8790765 -16.46392 12.22973 3.672837 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.004571355 -0.6689749 -0.1419695 -0.7281985 -0.029375635 -0.678365 0.06149669 -0.7314733 -0.422853 0.5229613 0.3783034 0.6360177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1265 0.09792098 1.022261 -8.462773 0.2018028 0.5321829 -8.409594 0.201802834868431 0.532182931900024 -8.40959358215332 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 12.47244 24.2752 -144.4477 -19.25745 -0.5875549 8.735824 -16.16181 10.87668 5.086716 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01592593 -0.6488874 -0.1743737 -0.7404634 -0.03655031 -0.6842302 0.06330477 -0.7255938 -0.4152433 0.523621 0.3816077 0.6385691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1278 0.09729018 1.0331376 -8.4393898 0.21098326 0.55411268 -8.3561802 0.21098327934742 0.554112696647644 -8.35617980957031 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 12.366996 23.095024 -141.19752 -17.935398 -0.36215022 8.5578432 -11.880978 10.926322 5.838276 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.037058964 -0.64939142 -0.1954429 -0.73131552 -0.036045238 -0.676297 0.041142634 -0.7329379 -0.42309284 0.51546556 0.405295 0.62225664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1292 0.09665938 1.0440142 -8.4160066 0.22016372 0.57604246 -8.3027664 0.220163723826408 0.576042461395264 -8.3027660369873 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 12.261552 21.914848 -137.94734 -16.613346 -0.13674554 8.3798624 -7.600146 10.975964 6.589836 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.058191998 -0.64989544 -0.2165121 -0.72216764 -0.035540166 -0.6683638 0.018980498 -0.740282 -0.43094238 0.50731012 0.4289823 0.60594418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1306 0.09602858 1.0548908 -8.3926234 0.22934418 0.59797224 -8.2493526 0.229344168305397 0.597972226142883 -8.2493522644043 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 12.156108 20.734672 -134.69716 -15.291294 0.0886591400000001 8.2018816 -3.319314 11.025606 7.341396 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.079325032 -0.65039946 -0.2375813 -0.71301976 -0.035035094 -0.6604306 -0.003181638 -0.7476261 -0.43879192 0.49915468 0.4526696 0.58963172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1320 0.09539778 1.0657674 -8.3692402 0.23852464 0.61990202 -8.1959388 0.238524612784385 0.619901990890503 -8.19593849182129 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 12.050664 19.554496 -131.44698 -13.969242 0.31406382 8.0239008 0.961517999999998 11.075248 8.092956 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.100458066 -0.65090348 -0.2586505 -0.70387188 -0.034530022 -0.6524974 -0.025343774 -0.7549702 -0.44664146 0.49099924 0.4763569 0.57331926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1334 0.09476698 1.076644 -8.345857 0.2477051 0.6418318 -8.142525 0.247705057263374 0.641831755638123 -8.14252471923828 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 11.94522 18.37432 -128.1968 -12.64719 0.5394685 7.84592 5.24235 11.12489 8.844516 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1215911 -0.6514075 -0.2797197 -0.694724 -0.03402495 -0.6445642 -0.04750591 -0.7623143 -0.454491 0.4828438 0.5000442 0.5570068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
