Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
43 0.02913054 0.997709 -8.545449 -0.1584504 0.5304078 -8.560866 -0.158450350165367 0.530407786369324 -8.560866355896 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.346012 20.09673 -155.7807 -42.74872 1.219547 3.751038 -26.86631 17.07551 -21.22077 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01508136 -0.6970306 -0.04770695 -0.715294 -0.2420839 -0.629149 0.2395317 -0.6987076 -0.03204298 -0.5451565 -0.2096961 -0.8110524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1953 0.0970634287424497 1.00617763733754 -8.54551266442307 -0.0587025174827832 0.527192177416934 -8.55453915436391 -0.058702518631343 0.527192174751144 -8.55453938057336 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 10.079779538703 16.5591819805848 -156.527130679945 -47.75531756039 3.13061194647857 3.3540749853584 -2.38716515506096 8.10766010697711 -13.0384048601215 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0382840801202246 -0.712373292209028 -0.103653986049356 -0.693043651564485 -0.225072272258451 -0.64324923157094 0.215419471478264 -0.699395483020916 0.152297203027411 -0.55461711101965 -0.373440853689183 -0.727725299159373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2165 0.124069055700332 1.01233040847986 -8.54900771112768 0.0402247880136759 0.515628172615984 -8.54561406069024 0.0402247859686651 0.515628198453069 -8.54561393787806 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 13.6626615906284 15.46963625153 -156.948183784961 -42.7804941572779 3.17725500570415 2.18720838579197 0.0583148188163973 6.29550422579224 -8.34703174727669 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0620482733896003 -0.715821314299313 -0.124167186253719 -0.684344928499404 -0.184640388312495 -0.666566699951141 0.160544991160019 -0.704100217439975 0.235356520800734 -0.560368031574585 -0.407756651332469 -0.681375376881858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2341 0.143239897608474 1.01779441551858 -8.55208140635845 0.140072504011062 0.514271287915148 -8.5402665922323 0.140072506552554 0.514271285333411 -8.54026677493501 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 16.2268316948859 14.3331568867134 -157.25392872242 -36.0196563040861 2.04650005726453 1.72545810227586 -3.20280124798772 5.68511433423483 -4.67586721284143 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0788875796191815 -0.72005217435269 -0.138960602687036 -0.675268028487898 -0.134191762180576 -0.694934533532791 0.0962473139294181 -0.699772813158617 0.301879894693196 -0.572389840036384 -0.419150140194136 -0.636750224676629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2510 0.161444456577268 1.02396139810036 -8.55421682889842 0.239239111092783 0.52637084056942 -8.54469223308697 0.23923912426986 0.526370827798453 -8.54469211935084 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 18.6867581064519 13.0914378860688 -157.341513559543 -29.11985113906 0.200253450334851 2.21292951260351 -7.05584954441795 4.88913292145505 -0.599401788218651 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0938993606244436 -0.724447733142139 -0.154241161481923 -0.665254820402925 -0.0800869367570937 -0.720714416723164 0.0364901892587356 -0.687562387741249 0.359670337493494 -0.588448998384263 -0.416679553225134 -0.592190206815055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2731 0.18903033037081 1.03519929816223 -8.5561449400007 0.335299012513164 0.553150483335979 -8.55213158758743 0.335299032961381 0.55315048193374 -8.55213152370356 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 22.4466935889243 10.7500711353559 -157.05451420691 -24.8865132343733 0.460194601215148 2.52773911309047 -11.1810810899832 4.48683431559592 2.29625347610134 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.114603110646274 -0.732389148644666 -0.179877794922051 -0.646609854319562 -0.032553516133782 -0.736384365517733 -0.0155269431607003 -0.675598001424792 0.405035078554485 -0.595832199862698 -0.418118083999828 -0.553262284503178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2969 0.22471151675623 1.05291436733129 -8.56382011913056 0.426315417736547 0.591326775570003 -8.56821196075542 0.426315427125804 0.591326763985829 -8.56821220007422 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 27.6295162802666 8.56234042985395 -156.992430291829 -23.3311714860309 1.13962853428914 2.4289080514384 -12.8758551672076 4.61868014745605 5.30298818940009 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.146750151804934 -0.736492140001476 -0.210348211561002 -0.625907352842064 0.00729155199395286 -0.745538343083862 -0.056161611157373 -0.664042295044675 -0.450089661715026 0.596002939942707 0.419437136348718 0.516009182791215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3212 0.274051442625144 1.08516434907871 -8.57237370770637 0.511785799284887 0.641136436012933 -8.58283452284906 0.511785806471608 0.641136402595093 -8.58283460844805 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 35.3286784082857 6.64799852016069 -156.222153507439 -26.4921990139207 1.77623857880455 2.62544082718633 -14.7458951325167 5.17147830347745 7.40864799169236 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.1925336324622 -0.730784047271857 -0.256338747408097 -0.602615424596577 0.0366999577259925 -0.747456766006455 -0.0809203981119473 -0.658340653860453 -0.481962590381413 0.592619975103694 0.417892790123464 0.491812327990481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3622 0.336472192696643 1.14321814893611 -8.57546363073586 0.58642120700189 0.706318566461576 -8.59628255712612 0.586421246773985 0.706318531902984 -8.59628234953389 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 45.5470708346152 -0.381569628885435 -151.229949750858 -35.8390900257614 5.93787615571057 5.45152900493918 -14.8944651607214 5.27885830926455 7.84419195534048 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.237445627937653 -0.729785818364182 -0.336137254564219 -0.545923170720269 0.0523029778899361 -0.749285093177746 -0.082512318367594 -0.655002767047281 -0.496951826733589 0.586669104154804 0.412946945796289 0.488194549755699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4042 0.37932890248838 1.2007899000288 -8.5741067553381 0.653194269680812 0.779507325394661 -8.60987532439634 0.653194285648957 0.77950727864364 -8.60987533671427 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 52.7533933174038 -9.21250256171605 -143.348672674529 -41.6675003766612 10.7223572049815 8.95238194846257 -13.8081794240656 6.75583272208245 8.89559671290813 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.259870753632307 -0.725118309857426 -0.40971245445338 -0.488668456064698 0.0875712953780259 -0.746057720358681 -0.0959241250658151 -0.653064861637108 -0.533730543814723 0.565920612238409 0.40908727107061 0.476927748887693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4287 0.393278166175328 1.22484195085644 -8.57362439625057 0.725803438845127 0.84825791142808 -8.61099787818542 0.725803427036091 0.848257936341173 -8.6109979781227 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 55.082721461264 -13.2548087837794 -139.47027404967 -36.8283669799306 12.9791966537525 8.31702656682261 -15.9594415004932 7.71003674645961 12.7699300091713 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.265804065588662 -0.72142604785308 -0.438555146968162 -0.465358065333993 0.133000357523596 -0.742991030946773 -0.155895289385381 -0.637156065894107 -0.583120982119496 0.554826191800961 0.417348978045365 0.421845815583294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4663 0.411463831072685 1.26352865980032 -8.56642747737414 0.785415355038598 0.928475688026725 -8.60760233206745 0.785415348536673 0.928475678134058 -8.60760189402321 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 58.5773898969443 -17.6695955409415 -133.414537976133 -35.4216527087107 13.8035993354815 9.80181154288088 -17.5554048365247 9.84246396353515 14.9542367481161 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.274662757235298 0.703825285785136 0.481570691209276 0.44415833051259 0.1713809 -0.7359066 -0.1982269 -0.6243212 -0.622767610823855 0.538759790484219 0.418386471260885 0.38321227197692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
