Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
43 0.02913054 0.997709 -8.545449 -0.1584504 0.5304078 -8.560866 -0.158450350165367 0.530407786369324 -8.560866355896 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.346012 20.09673 -155.7807 -42.74872 1.219547 3.751038 -26.86631 17.07551 -21.22077 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01508136 -0.6970306 -0.04770695 -0.715294 -0.2420839 -0.629149 0.2395317 -0.6987076 -0.03204298 -0.5451565 -0.2096961 -0.8110524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1795 0.0775684799510469 1.00288143040967 -8.54275956147789 -0.108982750897781 0.535085905870038 -8.55529193775869 -0.10898278957438 0.535085911604853 -8.55529180049099 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 7.52192983557793 17.2587903663481 -156.123202774047 -48.9665391240089 2.7824171638854 3.83546744544942 -4.92493394863419 9.85938889563298 -14.8345880852202 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0207630854449682 -0.709992764081783 -0.089463999323582 -0.698194412967023 -0.244828304242062 -0.631183899181362 0.238269937464422 -0.696338794761864 0.105229453174577 -0.551235890771846 -0.344437402595484 -0.752572699634036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1951 0.0967966947419743 1.00612703812201 -8.54546361485063 -0.0595913381822027 0.527344116552672 -8.55455047349601 -0.0595913391171167 0.527344112682906 -8.55455068937539 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 10.0442189355605 16.5646434618241 -156.521174660434 -47.7952767917426 3.12826066628746 3.36302424155258 -2.52902480578894 8.14827746501055 -13.1229351954006 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0380320515588721 -0.712366130162942 -0.103468116467626 -0.693092869576394 -0.225367694868743 -0.643092582867739 0.215796937583562 -0.699328592340254 0.150895907948301 -0.554569732366707 -0.372696674654084 -0.72844066157066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2065 0.110191745554945 1.00892912872732 -8.54728006439597 -0.0104716672680887 0.51984646544467 -8.54897915990286 -0.0104716665480169 0.519846458059191 -8.54897906336912 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 11.8108043873392 15.9946829325981 -156.762762574546 -45.2755755545863 3.58048900252658 2.46779329020159 -0.290356043766182 7.10754192465412 -10.9228794740633 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0498770156408873 -0.714353304547094 -0.11349753919289 -0.688715236034685 -0.204681178602135 -0.654056361740966 0.187376944785337 -0.703673629181529 0.19718628163404 -0.555006155282395 -0.397289994244538 -0.703706114376055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2163 0.123844608717664 1.01227156017838 -8.54897191906372 0.0392481790412962 0.515690550717634 -8.54571336719898 0.0392481770990266 0.515690576716552 -8.54571319863137 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 13.6325386163097 15.4784816123668 -156.944445380735 -42.8383389634651 3.18157349388728 2.20008600809184 0.100536789825212 6.30517038868472 -8.38053246039194 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0618456886607226 -0.715796139083775 -0.123998974532276 -0.684420596875109 -0.185193556856801 -0.666230408258183 0.161293583275622 -0.704108402404294 0.234598464648589 -0.560206138360138 -0.407602394124305 -0.681867781261141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2262 0.135625492133182 1.01549768905259 -8.55095328039913 0.0891113778616197 0.513958564526948 -8.54244770135251 0.0891113761987551 0.513958531188715 -8.54244800823322 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 15.2070046810518 14.8332923893757 -157.154646278593 -39.9878177038123 2.80454323990566 1.82061071555545 -0.630307376816823 5.70950527305138 -5.85457721004635 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.072348327125367 -0.718150083187972 -0.132918058534945 -0.679232730035644 -0.160942760093902 -0.680603374665051 0.129388347366827 -0.702932942709532 0.274986520845175 -0.5683616930456 -0.415325773657538 -0.654825610557409 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2340 0.143092420615026 1.01774732426694 -8.55206769920235 0.139063930797659 0.514215935684025 -8.5402854354031 0.139063933339037 0.514215931403454 -8.54028563574401 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 16.2069286374119 14.3411900806103 -157.253378435131 -36.0984431030486 2.05987540681212 1.7259373191277 -3.24151365861119 5.69790624585311 -4.7337821818954 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0787659064304824 -0.7200273180426 -0.138837214936547 -0.675334596574493 -0.134736643313832 -0.694689262150404 0.0968856902071027 -0.699833718288747 0.301212933158647 -0.572291258569868 -0.41906045003618 -0.637223531776498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2421 0.153790627321084 1.02126838388285 -8.55312318747767 0.188842346606041 0.518854088208098 -8.54105712921068 0.18884236687805 0.518854126037825 -8.54105685519501 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 17.6585241445865 13.795850018305 -157.289712275324 -33.0625810473555 1.31671365720459 1.86121542939306 -4.28630130332292 5.24292130713548 -2.63832001181725 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0876802376936662 -0.7215640796661 -0.147764991076901 -0.670688778633528 -0.111588217157003 -0.706072005744194 0.0703869536988755 -0.695741171911443 0.328636797245831 -0.578168599932496 -0.420856139769322 -0.616926912178326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2508 0.161268341912639 1.02389691840416 -8.55420088875047 0.238175262023507 0.526168718294988 -8.54462919159961 0.238175278729289 0.526168705066278 -8.54462908368997 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 18.6632421934594 13.1097157226262 -157.341831163994 -29.1988926997276 0.203103920324444 2.21150874204864 -7.02107347496284 4.8893122780821 -0.63760676926506 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.0937671814420242 -0.724372053394628 -0.15408199970396 -0.665392786578152 -0.0807950292899386 -0.720435368253562 0.0372638892832031 -0.687731143570662 0.358999772623236 -0.588286900263258 -0.416695649179035 -0.592747081276746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2602 0.172816675969137 1.02839429405594 -8.55405680601137 0.286791520686966 0.537752963040074 -8.54613411064192 0.286791529944543 0.537752946235459 -8.54613425770496 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 20.2009568186309 11.938756605822 -157.132690633974 -26.4388269476113 0.0727972858979831 2.41094857197555 -9.36364483908458 4.84231173442706 0.597486523457499 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.101429555859057 -0.728828522206227 -0.165540180923042 -0.656592559218367 -0.0559572571897931 -0.730044874515995 0.00966315959524167 -0.681020588556177 0.381401755106112 -0.593345835744857 -0.417346134109444 -0.572965654332726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2727 0.188562036264505 1.03499489289737 -8.55603553046234 0.334138884458613 0.552736690851168 -8.55194062876451 0.334138901681353 0.55273668103891 -8.55194064689807 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 22.3812326335656 10.7932874193218 -157.05236664568 -24.9036327799109 0.457106195344529 2.52976884866412 -11.1297659850171 4.49250629566884 2.25882786849794 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.114197037773454 -0.732234717710065 -0.179485129796371 -0.646966068946521 -0.0328429038790506 -0.736307459608809 -0.0152016688933767 -0.675675410366077 0.404603215599502 -0.595733760299275 -0.4181450155785 -0.553664188011628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2865 0.206435358535541 1.04331611468319 -8.5596426351655 0.380307969437583 0.570509819682077 -8.5591882121093 0.380308002354774 0.570509842251823 -8.55918833328844 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 24.9079409877835 9.27270341798997 -157.002520392081 -24.0445236426994 0.926095558927663 2.48398179840027 -12.3336261582894 4.63246646845835 3.63336847945614 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.129374332848616 -0.736954866501533 -0.195084877963197 -0.634105537539213 -0.0128732246501129 -0.743228946488615 -0.0370088144461532 -0.667886172616334 0.262107186590915 -0.369571516567253 -0.257480742273001 -0.329828511479526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2967 0.224285168310254 1.0526778358646 -8.56370443061658 0.425171084609654 0.590774205419031 -8.56794359585687 0.425171097719881 0.590774190788535 -8.56794384167744 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 27.5651029774606 8.58259627640341 -156.991738260702 -23.3581645180995 1.14690497909843 2.42800597693235 -12.8799233557106 4.61885544609954 5.28186897436143 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.146334236324782 -0.736487066697419 -0.209994693425392 -0.626130062776724 0.00705239753838287 -0.745479677934779 -0.0559214362661111 -0.664131237748736 -0.449885746391259 0.596005856018699 0.419441379215423 0.516180334020575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
